LOKMAN HAKIM,899.233 LOK,PENERBIT X,-,2024,151,9789673697618,-,-,-,-,-
ABDUL AZIZ ABDUL RAHMAN,338 ABD,UNIVERSITI PUTRA MALAYSIA,-,-,133,9789839319262,-,-,-,-,-
-,384 -,PELANDUK PUBLICATIONS,-,-,104,-,-,-,-,-,-
NOOR AZILAWATI MOHD ABDA,347 NOO,TIME EDITION,-,-,44,9789675243028,-,-,-,-,-
MUHAMAD ISMAIL AHMAAD,499.28 MUH,SEMARAK MURNI,-,-,84,5789617158315,-,-,-,-,-
MUHAMMAD HAJI SALLEH,899.28 MUH,DEWAN BAHASA DAN PUSTAKA,-,-,259,9789836293626,-,-,-,-,-
MAHMUD NASHAR,297 MAH,PUSTAKA ILMI,-,-,185,9789830982335,-,-,-,-,-
DR. MUHAMMAD FAHD ATS-TSUWAINI,290 DR.,SYNERGY MEDIA,-,-,117,9789673712038,-,-,-,-,-
HARPRIT SINGH SANDHU,621.391 HAR,MC GRAW HILL,-,-,360,9780071606165,-,-,-,-,-
BAHA ZAIN,899 BAH,"PENERBITAN KATA PILAR
(M) SDN BHD",-,-,102,9789672796305,-,-,-,-,-
WS UZALA,899.233 WS,EDITION PLUS SDN BHD,-,-,156,9789675262364,-,-,-,-,-
VISTA PRODUCTION LTD,641.5 -,PRESTON CORPORATION PTE LTD,HONG KONG,1979,206,000816784,-,-,-,-,-
CHARTING DEVELOPMENT TOWARDS A HIGHT,338.9 CHA,UKAS,-,-,291,-,-,-,-,-,-
DATO MOHAMAD SALLEH BIN RAFIE,959.5 DAT,JABATAN PENERANGAN MALAYSIA,-,-,279,9789835404085,-,-,-,-,-
RAMON V NAZARATNAM,330 RAM,ASEAN ACADEMIC PRESS,-,-,678,9781901919462,-,-,-,-,-
SITI MARIAM ELIAS,306 SIT,PUSTAKA SEGAR,-,-,60,-,-,-,-,-,-
HAYATI HJ AHMAD,320 HAY,PCT,-,-,44,9789833241996,-,-,-,-,-
AHMAD SARJI ABDUL HAMID,338.9 AHM,PELANDUK PUBLICATIONS,-,-,460,-,-,-,-,-,-
COOKBOOK CLUB,641.5 COO,NEW WAVE,-,2018,83,9781719944410,-,-,-,-,-
ABD HAFIDZ AINUDDIN,641.3 ABD,UTUSAN PUBLICATIONS,-,2013,278,9789676125651,-,-,-,-,-
ZAIMAH ZAINOL ARIFFIN,657 ZAI,UUM PRESS,-,2022,373,9789670031392,-,-,-,-,-
ZAIMAH ZAINOL ARIFFIN,657 ZAI,UUM PRESS,-,2022,373,9789670031392,-,-,-,-,-
ZAIMAH ZAINOL ARIFFIN,657 ZAI,UUM PRESS,-,2022,373,9789670031392,-,-,-,-,-
RAMON V. NAVARATNAM,338.9 RAM,PELANDUK,-,-,220,9789679788488,-,-,-,-,-
ROHAWI SARNAP,297 ROH,PUSTAKA ILMI,-,-,30,9789830986692,-,-,-,-,-
MOHD SOFWAN AMIRULLAH,909 MOH,YAYASAN DAKWAH ISLAMIAH MALAYSIA,-,-,148,-,-,-,-,-,-
SURAYA HUSIN,899.233 SUR,ALL WRITE,-,-,107,9789832414421,-,-,-,-,-
BOALD DAHL,820.8 BOA,-,-,-,-,9780582512238,-,-,-,-,-
NOORDIN HASSAN,899.232 NOO,DEWAN BAHASA DAN PUSTAKA,-,-,176,9789836270474,-,-,-,-,-
ALNOOR  BHIMANI,658.5 ALN,PEARSON EDUCATION LIMITED,USA,2019,841,9781292232669,-,-,-,-,-
ALNOOR BHIMANI,658.5 ALN,PEARSON EDUCATION LIMITED,USA,2019,841,9781292232669,-,-,-,-,-
KENNETH C.LAUDON,621.3 KEN,-,-,-,-,9780131971929,-,-,-,-,-
ALNOOR BHIMANI,658 ALN,PEARSON EDUCATION LIMITED,UK,2015,857,9781292063461,-,-,-,-,-
SITI SALWA TUMIRAN,290 SIT,SYNERGY MEDIA,-,-,280,9789673715527,-,-,-,-,-
DR. HARON DIN,297 DR.,DBP,-,-,236,9789836214225,-,-,-,-,-
DR. HARON DIN,297 DR.,DBP,-,-,361,9789836215239,-,-,-,-,-
DR.HARON DIN,297.4 DR.,DBP,-,-,236,9789836214225,-,-,-,-,-
DR HARON DIN,297 DR,DEWAN BAHASA DAN PUSTAKA,-,-,361,9789836215239,-,-,-,-,-
HAIRULKAMAL WAHID,499.23 HAI,NUR ILMU PUBLICATIONS,-,-,44,9789833501298,-,-,-,-,-
HAIRULKAMAL WAHID,499.23 HAI,NUR ILMU PUBLITIONS,-,-,44,9789833501298,-,-,-,-,-
AMALINA AMALIN,499.23 AMA,SEJATI,-,-,60,9789831542194,-,-,-,-,-
REZ KHAEL,899.233 REZ,FIXI,-,-,225,9789672128366,-,-,-,-,-
JAMAL MADHI,290 JAM,SYNERGY MEDIA,-,-,159,9789673715572,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SENDIRIAN BERHAD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
MAJLIS MINYAK SAWIT MALAYSIA,581.959 MAJ,NUKILAN UNGGUL SDN BHD,MALAYSIA,2022,48,9789670743882,-,-,-,-,-
